n 400 e 7940
p 82 283 24.52239726568734
p 224 277 35.29955845742584
p 92 399 33.10200766982194
p 116 186 49.790512747049014
p 67 212 71.98467573033408
p 279 330 22.56463480273261
p 97 393 1.06942621377563
p 208 257 68.62138774945484
p 243 273 74.35082053034171
p 171 265 85.43809031726195
p 60 273 64.46626052518532
p 63 347 2.7308843058435004
p 9 135 31.15428395302997
p 180 270 36.47658693100956
p 10 236 95.22181170799219
p 237 281 73.52450852407748
p 116 340 25.173455358602485
p 8 72 10.897772243786617
p 229 282 46.97804624911568
p 147 297 61.945275239508724
p 14 77 98.20266338469706
p 11 107 76.13309248976833
p 195 240 80.29751931537534
p 146 396 52.99979919020253
p 172 234 38.31347192124539
p 75 329 3.419880967068882
p 86 366 95.28843592429006
p 138 156 35.69338508582506
p 366 383 27.863385294548426
p 190 200 41.693976441771824
p 50 218 55.97080819301879
p 194 228 32.72382091611769
p 10 339 25.603954445365996
p 199 306 23.661942611741985
p 27 92 68.52984682943483
p 122 291 25.841467171418145
p 260 278 73.80920706231146
p 132 183 99.91998807164394
p 36 81 19.412836889312292
p 369 390 67.24695869104448
p 10 30 32.044095647244916
p 32 380 40.18074108452895
p 299 399 61.57937230051762
p 125 263 23.293380218327542
p 89 322 22.305746034394346
p 246 320 10.134718711690777
p 226 247 98.21991472605725
p 121 387 84.11567929192937
p 22 365 88.70846931987198
p 291 381 92.12954151433772
p 116 176 85.46935486938432
p 59 256 26.745769532680786
p 388 398 22.336848437266895
p 245 344 35.85804832570984
p 13 77 38.65715902981145
p 8 294 14.719212160759357
p 183 341 1.6171811114709058
p 91 264 66.4948901735957
p 8 183 66.10479234681706
p 283 321 55.954644663498264
p 315 392 42.81492629256137
p 241 337 20.87679994152169
p 41 366 31.343617751364267
p 68 366 45.04053432780459
p 118 170 46.00335180079541
p 19 28 26.30154654801212
p 251 274 10.102427657655907
p 57 250 85.28196181596131
p 139 392 76.1921169997272
p 49 290 71.16860978657954
p 188 365 58.7747247836063
p 0 217 3.867865731392362
p 83 349 67.60794750939753
p 62 181 70.63680398812973
p 71 226 91.81628181958196
p 93 120 39.555491395737796
p 247 373 63.13120060808282
p 194 331 64.60760630193488
p 283 348 52.968061833029104
p 52 196 55.229068648883654
p 234 306 88.68585945559214
p 199 322 55.61697593370081
p 132 176 59.10293333500995
p 95 142 1.9656483478663462
p 108 277 51.11611119144472
p 297 311 40.36698144225279
p 105 222 55.679752282675416
p 242 354 90.01187698856471
p 91 177 12.172150867775157
p 288 349 83.7533589407434
p 168 240 23.288587648282412
p 81 382 57.499490297115756
p 47 143 20.509740874633053
p 30 142 22.61755331431533
p 206 367 8.865041843601766
p 151 183 94.1266502283263
p 174 386 53.47247075882529
p 12 24 43.963423842073475
p 94 384 68.96753045846013
p 276 331 98.7839347160531
p 64 264 27.30819289249288
p 106 120 71.51139611033267
p 9 258 57.660213685280425
p 101 317 83.77988768538005
p 267 269 66.03778702325064
p 239 389 92.70571098124549
p 25 296 67.89330611293117
p 14 218 45.480680459401235
p 60 80 75.04272567488663
p 149 280 66.88341893924176
p 79 252 7.959410367121062
p 117 315 81.56339491587117
p 115 379 49.91399085082513
p 15 285 62.77648939882221
p 28 46 37.44263461483124
p 86 332 38.37067224810378
p 110 132 72.54692078306581
p 140 243 56.81393320515127
p 207 270 26.180456190855352
p 14 239 60.40519004472627
p 112 213 65.68500191210754
p 0 39 38.49539047025419
p 97 309 16.09603115155774
p 213 283 78.59123779218773
p 297 350 28.05393526396151
p 92 330 5.357810935366269
p 106 332 27.932356984499197
p 204 373 20.193647776621933
p 156 209 79.05602560528312
p 73 134 95.22583386316403
p 99 127 70.12173709462527
p 206 211 41.035308347698276
p 7 293 69.25484372600091
p 9 388 76.0592051968868
p 49 140 34.94399893477096
p 15 240 59.10673353381092
p 294 320 84.42022371134114
p 27 386 92.76970690079844
p 83 205 87.24426682167821
p 37 351 24.118777369875275
p 24 168 25.096004351559944
p 130 239 52.511623349181214
p 215 384 61.88519331372378
p 169 307 25.588511789997167
p 363 374 79.40058985243363
p 16 158 42.95199420086497
p 34 193 32.00561248680319
p 32 287 95.36240541032439
p 41 295 68.49784921929808
p 230 320 61.6467577220685
p 261 354 90.93489184050657
p 269 271 68.93351335023996
p 194 329 66.25103939656566
p 65 246 70.06052762950482
p 144 161 80.94901201023617
p 304 309 83.56910462448491
p 221 343 26.63963386762196
p 203 323 55.42574841488995
p 173 224 88.93115361238202
p 243 295 90.6483551137259
p 207 212 17.106505117025495
p 153 333 4.906674681185089
p 163 302 42.60878918462452
p 54 255 31.762563768370825
p 298 376 41.517930526116594
p 117 278 69.79817491934664
p 228 294 43.872618355046775
p 262 387 15.931503234139848
p 64 244 86.17249773103313
p 171 352 78.65184965818733
p 135 263 90.13106792463024
p 180 384 51.75929603750817
p 32 130 19.82398991057176
p 57 260 38.066369203597155
p 80 158 69.4582770957065
p 55 286 18.305493470284816
p 280 298 14.350879124069168
p 35 255 98.37678202434559
p 56 79 98.64385775490808
p 177 321 97.45128985922346
p 29 182 95.8384751986637
p 203 253 10.50057711224257
p 86 223 97.83001652973779
p 139 147 26.96259350378264
p 16 216 96.24512509460594
p 269 339 51.666947701334905
p 155 307 99.31819113357024
p 18 65 83.93609756205191
p 282 381 87.2028704338245
p 46 320 62.11715411862192
p 170 245 33.69349213046621
p 47 169 2.8555930420182785
p 234 338 74.60090536530804
p 131 360 40.507736351619144
p 30 55 47.42248566952633
p 187 302 9.530585159926373
p 82 153 72.68429850074772
p 68 392 35.316441073527166
p 182 332 36.91188329852644
p 190 386 32.68241718482459
p 158 287 21.227135105689367
p 107 144 29.53878216633339
p 37 79 17.225044461937816
p 33 336 93.31760390379098
p 134 340 80.37531997101203
p 201 380 84.11375236655654
p 307 384 92.78858840266687
p 15 120 57.91544822013961
p 49 233 16.335238455616214
p 91 342 49.71680973897997
p 181 324 40.72399283918812
p 74 129 32.09287456597026
p 198 312 16.97619709315859
p 287 373 85.79603156995067
p 18 192 5.672418042215822
p 39 281 95.33897782633275
p 229 251 75.62825740083014
p 166 352 12.770325125991127
p 143 392 7.6853627092235355
p 227 314 64.95574671200202
p 9 262 75.9618966278623
p 32 135 32.89585362605894
p 170 177 31.031235216084934
p 57 341 86.03626629584299
p 69 273 17.641177204870598
p 188 385 12.134241852532107
p 180 216 12.466595438586873
p 34 188 92.66851966719966
p 97 206 33.572419012409135
p 15 133 2.386840300364717
p 183 276 94.7612749726177
p 209 285 55.24916396895082
p 342 355 41.84368283243891
p 103 142 46.8862528065885
p 209 363 12.997906029590029
p 225 345 31.275810474156465
p 7 48 69.34120018431118
p 151 159 22.32934693674562
p 147 334 77.24728181722342
p 77 326 49.92080265170679
p 56 184 76.93614572742644
p 117 244 9.382425352675638
p 9 87 14.520136927544764
p 186 222 30.122792174532723
p 30 266 85.0160229491784
p 166 372 14.077139886731546
p 316 339 10.147772382949896
p 112 281 37.22996889889101
p 127 310 60.057235659932566
p 16 81 61.216127023857595
p 12 384 92.29701654956341
p 26 256 63.040052458959536
p 12 54 48.57861599104274
p 152 281 48.90757340418802
p 301 393 57.465189702874916
p 339 356 80.0453717298158
p 66 300 43.21807954444672
p 8 64 80.68922526491006
p 73 329 36.40143268921059
p 157 290 37.1331001121484
p 23 64 27.24123170070372
p 110 321 18.3999921388072
p 188 317 96.25103006887598
p 29 309 14.772340452329527
p 236 322 17.267497090590457
p 142 381 16.193649512338652
p 197 367 37.78761284296586
p 14 315 14.200926410223131
p 67 319 62.53750603748049
p 221 262 77.41935418028349
p 69 258 72.70032096494866
p 185 213 76.07164763704375
p 134 292 67.41114200830377
p 13 390 69.42779537524686
p 157 173 70.70816849772503
p 247 384 34.8291717543233
p 18 359 85.83378380299054
p 88 98 60.78371852299502
p 87 167 49.34390002160521
p 146 181 58.1426394523791
p 46 144 13.981067761777286
p 7 61 69.75530380299712
p 40 267 78.34013078126647
p 179 369 81.19410648683613
p 164 165 36.88134360129225
p 55 156 86.24430730758864
p 129 392 68.28693719819888
p 90 120 23.291363406696778
p 26 315 19.960914664340972
p 7 50 67.36440739898487
p 30 174 51.68935920666025
p 115 351 49.99009049038795
p 133 256 63.398364733916736
p 110 388 46.83900492074274
p 179 331 52.49511192976068
p 63 216 28.52198592863565
p 323 397 17.7291446313008
p 325 337 1.379353990885614
p 214 315 77.96837734958855
p 26 109 92.80881001649564
p 80 318 89.99143356315243
p 364 386 86.70671940275139
p 97 299 63.650438134608066
p 212 265 58.16859736522606
p 45 332 85.88981656066463
p 145 239 28.56051058881204
p 29 318 32.010294358034535
p 324 347 99.369129474919
p 100 383 77.92341252395367
p 5 144 2.197223115918156
p 38 303 59.27807036932339
p 90 176 61.851463591370596
p 160 323 69.7888050059954
p 164 208 22.896348300309818
p 121 302 45.88873623014348
p 25 82 75.10584385739413
p 23 294 37.34784165635357
p 1 220 84.69702623142186
p 155 215 13.938229523661866
p 326 329 98.00931866154605
p 126 327 2.2642605784718786
p 331 377 98.7066574308127
p 83 192 2.031066461645462
p 73 97 73.69131055308715
p 7 30 49.41484601623411
p 93 159 68.28232607022866
p 188 368 18.893901543596073
p 345 398 73.19677985449978
p 231 253 2.239368722556801
p 43 344 97.91537631617506
p 59 236 88.02154992566994
p 349 358 17.711336739019572
p 9 342 48.312182084236255
p 91 249 27.815121849172353
p 249 251 83.84217181728927
p 69 307 32.05574043466318
p 249 391 70.82414903886293
p 284 369 92.1627993213736
p 300 304 77.19869445878992
p 271 378 25.458286164099068
p 14 47 33.05717513833704
p 126 286 15.402357396735894
p 34 334 11.498179496975084
p 80 146 58.37528749330867
p 124 346 29.624821380641272
p 103 261 18.195188993236233
p 198 360 79.63389575606318
p 231 302 67.41293815687186
p 249 295 59.788889277954354
p 74 265 94.6267388797743
p 87 210 38.45683738505342
p 125 386 64.11279493224335
p 116 259 99.43188785324483
p 243 379 53.23660467084142
p 175 279 69.745311204526
p 50 156 68.79274339661671
p 62 255 43.225970873573665
p 61 83 67.68038308349179
p 47 210 36.256675397100366
p 251 276 94.88462440511498
p 97 112 21.07254705495422
p 243 367 66.8915213424723
p 153 335 47.39785262471428
p 56 231 20.983938762541435
p 157 181 88.01960574294527
p 69 114 7.565918559301067
p 21 357 60.019524868536976
p 248 263 71.48763737308087
p 52 218 19.408952825876273
p 8 89 33.69281273443514
p 138 377 11.62376963209235
p 56 248 60.71881792412569
p 209 378 47.10011054718063
p 61 368 31.029574434480324
p 108 256 43.40042929890959
p 1 10 30.2117754406346
p 166 317 56.58022829950929
p 225 270 93.18605223169976
p 75 250 35.95648333130485
p 131 399 8.8174755341944
p 140 304 20.418904302242733
p 39 303 51.14473118242269
p 85 112 70.03258990529626
p 90 178 6.1164855588781455
p 151 348 39.366567227043745
p 218 292 62.73295036803108
p 39 396 36.21937691663418
p 308 329 55.44121639553888
p 24 259 46.56386863913883
p 134 260 2.698628996699588
p 82 200 71.19043548219038
p 8 177 24.60833758054337
p 226 287 45.97674433130241
p 132 224 56.48909116468602
p 143 396 88.50638943727971
p 9 359 29.44977510751348
p 283 360 64.34647064354786
p 146 328 68.5438333418772
p 129 229 55.936130751117226
p 274 327 36.17862144227806
p 130 370 93.9368989578014
p 17 108 83.14802908519071
p 247 375 16.483566387282423
p 191 346 8.5583896059355
p 12 285 26.063024724286795
p 134 202 26.63619360146544
p 166 204 73.24032826297305
p 342 374 92.14711327299614
p 192 255 42.79209616149638
p 42 206 27.030857095917078
p 4 348 38.92192838911812
p 111 285 82.2642268709367
p 119 265 43.319861684535475
p 96 209 65.12690800166891
p 149 373 94.12420128222536
p 196 349 63.331627995964176
p 128 316 48.98039033016159
p 102 223 97.39763906666796
p 198 320 65.10289542190048
p 207 226 24.2101639477782
p 317 386 21.254161956642417
p 100 270 69.59692105529616
p 31 65 88.32289938446276
p 157 346 74.55263882350539
p 28 331 76.88566043675857
p 268 339 8.688925412274571
p 211 303 71.60043043845167
p 9 242 20.737536430768895
p 286 368 68.85722560496524
p 34 200 9.877772114803104
p 154 316 2.214191132315838
p 340 366 21.27487151130841
p 25 299 32.208796664742785
p 266 313 75.72427034095507
p 150 159 84.34909850411174
p 22 224 18.10241757166882
p 9 335 74.75398421143385
p 303 396 7.748290625110957
p 350 395 5.670766094304579
p 23 247 92.83834058912872
p 197 315 41.03143025430951
p 292 374 92.90233869204998
p 29 248 19.24383550748163
p 330 387 28.385563877659134
p 100 286 33.69494988321761
p 15 118 30.73646354849276
p 4 149 92.58186587626132
p 188 265 54.73858738447369
p 235 393 34.97659656417576
p 3 110 81.94246554603002
p 38 198 93.67883349778998
p 340 393 87.0150013072262
p 6 216 73.9047993340633
p 304 328 10.66498560228368
p 77 109 43.84235894398171
p 140 252 41.368355860155994
p 131 382 51.46496473022294
p 206 330 44.44727325186861
p 232 354 44.17722710059058
p 14 297 77.53917298243947
p 44 298 51.48453146256417
p 142 247 79.7421139572995
p 239 296 79.90665505667921
p 187 266 28.16793417238533
p 133 269 26.51940800868202
p 102 382 34.94478349317775
p 45 91 97.22040560396248
p 32 73 4.486980469811572
p 5 25 15.617899324510189
p 111 149 53.84518225113689
p 20 371 87.89776639472991
p 168 252 49.98137243025016
p 39 374 77.1311582710606
p 176 212 78.22299630789868
p 131 267 64.04843765327446
p 14 312 46.237720221801474
p 20 94 86.71272900505811
p 17 371 65.28783816489324
p 249 352 96.45481379442545
p 217 277 16.04554767264039
p 4 135 85.62250640576283
p 91 259 66.3737476077569
p 0 178 66.19810336058968
p 66 135 9.791401973466376
p 348 377 33.028612844825425
p 269 350 83.77297116078272
p 75 358 83.80512780949327
p 95 286 77.1398195162514
p 110 351 78.87583066493254
p 43 336 84.15813262530183
p 12 26 59.80113760092454
p 81 281 67.68110532634678
p 217 343 61.38490514931527
p 299 358 65.35678411768947
p 4 16 19.438579871810436
p 82 313 88.10970133602572
p 106 237 5.050680823015124
p 279 339 62.236422395859
p 185 383 58.18832206405467
p 207 249 41.20421837166191
p 60 288 85.80835926958278
p 105 112 83.8389715461363
p 182 350 43.731993188177604
p 210 293 90.9262068495832
p 185 203 67.26859677271852
p 167 368 3.5355787506466156
p 315 327 10.417019662315505
p 110 200 30.55660290182267
p 311 354 44.22039571528889
p 19 80 24.510026350887063
p 235 254 52.776531542671655
p 153 326 58.27045524386118
p 110 159 10.920233655489124
p 164 283 50.02312141453456
p 310 326 65.93185406937616
p 45 205 40.51990298763912
p 58 266 20.67748699171341
p 141 223 89.43528908008551
p 59 220 65.57528625318099
p 234 397 86.31851842370783
p 252 293 48.5573863786232
p 194 273 94.34953216087189
p 298 343 45.7336628159115
p 6 321 80.72169541884125
p 107 345 87.73606358087362
p 99 267 26.49474855747317
p 71 123 14.40254500011582
p 25 187 96.2055185010426
p 23 89 95.4031272940108
p 50 386 60.83195455966398
p 29 214 35.03660712956079
p 272 372 53.61415577558352
p 127 228 50.09102641563097
p 133 290 51.04427857809242
p 158 176 32.560903815922984
p 11 177 2.91748871921346
p 63 230 35.65614951788607
p 304 368 91.6302171685803
p 74 365 27.843675110537077
p 322 326 60.4818558811164
p 32 391 5.5907759347512185
p 66 307 51.41847048378697
p 309 379 88.9644180945164
p 79 334 55.871639714444704
p 305 335 68.50557292556317
p 56 67 33.11833705544591
p 254 290 52.05661886380818
p 186 247 55.47334278048943
p 267 384 49.28726829031294
p 115 284 79.93048526101666
p 53 242 69.92177114906744
p 53 294 51.58916054431492
p 275 298 73.47364486031853
p 155 314 15.419088020931017
p 268 376 74.07468008550589
p 112 227 62.2091059598181
p 66 194 42.26733991309893
p 104 246 25.58078824651256
p 81 316 23.424100203756947
p 349 367 11.164611000509394
p 99 211 43.6338575072654
p 241 242 91.65906889343074
p 91 384 39.47960279180325
p 166 357 16.296804997999647
p 8 166 63.84079749914848
p 139 291 48.06321558159097
p 265 375 53.137681249632216
p 149 156 80.80679981187475
p 179 182 51.456215056910736
p 168 259 95.0428670267449
p 322 373 44.16105293555091
p 128 335 32.418504426300274
p 133 364 8.18403620608451
p 15 35 42.4027503428273
p 188 309 64.99388769905045
p 200 322 84.80226943803571
p 200 221 84.37357339171572
p 35 261 41.54681411991649
p 64 382 61.7455554155263
p 25 77 68.55307469516667
p 138 271 64.46243904713705
p 148 171 60.936711689452125
p 45 100 41.06656804064739
p 30 35 22.21385830476784
p 50 105 84.21509040448876
p 70 298 26.485359971942234
p 235 337 30.876425560798385
p 144 177 96.07446098599974
p 261 370 29.76270946137407
p 206 356 57.50760411318752
p 18 86 59.49245911783844
p 177 238 52.85999289573359
p 230 392 6.355833024208698
p 62 189 95.87742116792744
p 78 384 80.79926175954543
p 105 134 33.980281787570156
p 231 301 43.52811618552066
p 28 297 27.591965231094356
p 81 94 98.299661660464
p 152 344 23.65979340220881
p 154 200 91.44739744820689
p 141 197 88.7938195192048
p 15 257 7.067778993431747
p 196 326 19.658758175549025
p 27 355 94.1427399463544
p 13 93 79.96665586846086
p 305 311 37.575723917650066
p 29 221 26.562422422698866
p 4 392 22.672954368250863
p 26 254 3.908725214252595
p 27 250 66.50516605076156
p 35 215 54.966131357995515
p 154 276 40.21322014492455
p 235 275 85.22168158025279
p 36 253 55.99540105963298
p 110 285 98.27253688626143
p 110 192 97.3711237498587
p 237 366 18.380605753253107
p 314 355 70.56180285308373
p 36 327 49.350287275986595
p 87 366 37.389529669791095
p 278 376 28.26513650460468
p 31 291 21.909164142843117
p 75 396 70.51339665796455
p 75 169 59.44960945624742
p 246 327 63.38760590420177
p 166 360 7.833990985158248
p 121 199 75.06445770432855
p 266 353 48.18142387893328
p 143 231 4.501766426076508
p 44 338 68.92373821918511
p 128 143 72.06217160977029
p 101 371 55.20734380833278
p 356 360 15.312275271493982
p 320 358 24.884113855502104
p 44 325 40.71820342008177
p 30 96 49.502487433503845
p 191 278 8.938314832527752
p 3 182 44.98707111352054
p 232 352 64.76160998796134
p 98 353 97.64738543391712
p 157 309 85.9043616402887
p 5 9 96.2334871776457
p 144 241 41.703573251953856
p 29 162 10.94438691897687
p 87 94 90.079729075634
p 18 191 98.79044902487192
p 75 357 4.5749873621128785
p 164 306 27.903144288616588
p 123 144 73.57790071524008
p 231 308 59.11236100866634
p 77 336 17.722609156107662
p 194 391 66.01726679575654
p 247 395 14.613038785664555
p 97 231 38.71382017303378
p 1 380 10.3050078094424
p 80 309 2.748859632443499
p 177 199 6.726192752198441
p 177 360 7.046601978500946
p 66 371 28.771233924264706
p 268 395 27.694913095165585
p 330 384 30.08801569368008
p 10 315 57.068178173958295
p 107 290 72.12388070553251
p 312 355 28.75030229210373
p 104 187 65.23037359645932
p 96 268 20.45921725928627
p 80 103 60.30408859542653
p 37 107 55.439646704961234
p 92 204 81.05227803354393
p 52 55 32.565456436125686
p 59 86 17.667890299957783
p 146 198 33.34870762118899
p 210 350 72.35285173676195
p 131 306 66.52249553346317
p 54 379 75.67721945265421
p 84 228 20.618099367976328
p 370 375 98.50129375331993
p 96 123 50.28022225788288
p 95 215 3.041999010768042
p 87 193 10.539341755449875
p 0 219 13.348097241683519
p 137 359 47.564161399940154
p 332 364 97.88247023001358
p 110 329 2.680616547367136
p 163 326 56.377169061008644
p 120 322 76.02025438490581
p 26 209 33.325577739231804
p 1 208 31.312704225126065
p 89 234 76.79267388157022
p 193 390 45.49857247346599
p 340 365 50.82396708878652
p 264 305 13.268918514613656
p 203 354 2.1774949609044363
p 45 351 51.95138882685047
p 148 223 47.74009844757419
p 280 312 45.71467159961491
p 262 347 70.60138345159099
p 169 246 49.99741824653938
p 346 393 66.62523460575558
p 15 81 71.86698475979155
p 81 295 4.048653188490249
p 212 325 25.71912987088791
p 43 321 75.78345377996214
p 198 352 73.94833358165151
p 229 341 33.489577695146785
p 19 366 5.738113761861259
p 66 76 97.47899970954133
p 328 337 79.94805707610969
p 7 130 15.28757147874418
p 1 351 88.4175849818292
p 0 158 82.73823327771794
p 257 289 65.01244523805718
p 170 239 77.75283223340556
p 358 372 73.02212632672433
p 18 203 92.28646126552617
p 22 249 30.68457262365418
p 103 352 90.15696000855903
p 4 72 42.16017099898346
p 25 32 89.83345471306443
p 33 208 12.27747415476093
p 71 196 55.27466767589182
p 111 361 15.941162014641122
p 7 206 99.58155244168235
p 101 234 35.04111820719684
p 125 206 59.31074355591293
p 364 379 39.49142090671112
p 126 244 82.99029191035527
p 144 359 97.62045211559115
p 295 363 20.17243210706416
p 41 360 89.20761993057766
p 12 349 88.36171593386976
p 257 341 61.56791892532715
p 94 308 28.452811936729525
p 245 361 56.81716387654576
p 355 367 93.4925392835989
p 35 161 73.05434907212198
p 123 219 71.84992925362982
p 69 290 59.04664735087955
p 125 361 41.02527998903634
p 264 270 25.03872183296616
p 184 311 80.87627970079907
p 17 285 90.2169291104032
p 104 343 86.25995628874769
p 259 353 22.130025288738597
p 99 233 72.5187464554943
p 29 67 39.80686578235131
p 174 189 92.14866850589554
p 181 298 45.299258339251715
p 0 200 52.266309955585776
p 74 391 65.66465695531201
p 232 365 98.29991519496163
p 77 303 14.041819487986068
p 209 393 96.05988938635862
p 154 239 34.31781568766084
p 169 257 39.96675787502402
p 192 270 95.80971479222616
p 44 231 17.7606514444626
p 11 380 17.28176266666182
p 68 142 3.819419140253942
p 197 240 34.772719377923785
p 85 134 43.14713281714909
p 190 287 93.25219653035327
p 305 395 27.978960994731125
p 164 202 75.60883300412794
p 60 171 74.4817958961366
p 44 128 47.29548808254909
p 361 364 69.32756826941802
p 7 294 90.92457960872596
p 146 339 20.590386594030534
p 239 384 48.83642910362659
p 187 338 69.0790579658916
p 289 322 95.59600584991483
p 170 274 89.02006503653061
p 380 394 68.38327630494452
p 88 372 45.07549263032643
p 10 389 62.42093426318615
p 242 370 11.744820626186408
p 134 253 16.238734270310843
p 33 369 74.85259119564523
p 62 362 29.768471972755584
p 286 388 73.24548119063418
p 83 95 35.08458000631194
p 32 99 87.48100980237923
p 23 85 53.8781734426701
p 101 291 84.58212335393873
p 103 312 46.43360021565207
p 259 280 2.7534283451384907
p 26 44 68.23835819050981
p 185 289 71.28254966394755
p 278 295 97.06362460386067
p 263 329 32.285863354186844
p 24 140 38.94215858161109
p 98 384 70.3696703953498
p 18 231 91.55503540465305
p 65 238 42.33561898226255
p 119 126 76.53718280760201
p 146 236 29.366693002134962
p 6 395 18.10820442755334
p 83 210 96.63456098831105
p 239 386 16.336546628842495
p 136 241 91.1603867036556
p 5 273 86.34423397657302
p 1 187 94.9992675236183
p 233 293 67.01631524303852
p 173 284 37.33280256037274
p 14 108 82.94196297404366
p 147 222 31.44618650117962
p 172 306 62.09043367768014
p 207 227 82.4321951182543
p 30 284 43.74226810178011
p 59 295 93.82183699906945
p 110 217 27.121598283721823
p 140 296 88.14962120976283
p 23 198 93.02236093267518
p 30 73 16.026104106974977
p 76 339 20.840894882524754
p 127 192 48.951542321302995
p 128 266 58.14387861573368
p 346 363 40.32688708988439
p 143 382 6.7481552701054115
p 150 357 62.37310109344238
p 15 68 38.46528643765734
p 107 191 14.894676668592835
p 22 377 6.960500089496312
p 36 320 99.7696780192629
p 110 160 78.47370654466813
p 224 267 83.2422665365768
p 285 379 41.91827966193502
p 219 318 62.02264894001681
p 103 316 84.05718168540615
p 146 285 64.99596244505744
p 20 174 65.59002235848641
p 100 120 26.64806856908897
p 214 244 69.54382644433258
p 28 151 35.23493827264626
p 71 391 22.303643998957984
p 160 335 20.39967328086379
p 87 309 13.284720733231467
p 88 356 54.30132221313051
p 60 251 22.15132943707678
