n 100 e 521
p 24 74 1.4859031176061341
p 28 84 53.18271964656986
p 65 94 43.07629110897113
p 27 63 76.09780705411228
p 54 92 6.237114703124887
p 68 69 68.36966717564673
p 35 41 42.811362766616774
p 7 65 85.69135830490737
p 55 69 73.71381204410477
p 79 94 3.267072542804383
p 7 64 88.49621710727403
p 21 93 66.12728499504371
p 31 53 99.66925562575767
p 24 61 23.210446868742743
p 27 38 52.77175075838112
p 28 35 65.35009276713255
p 37 58 96.50376967713743
p 44 48 73.23970873150431
p 30 46 3.3845101629851175
p 39 69 70.25541389362553
p 35 50 54.724007331605186
p 64 92 21.636213424214503
p 78 82 84.37419390502028
p 18 74 70.22696019581869
p 23 57 86.39650056505471
p 48 99 80.56580387996921
p 59 82 55.35970002623111
p 19 61 7.890693694546766
p 7 35 23.777131588204423
p 1 55 60.44637367061762
p 51 64 47.95683490209307
p 23 35 14.132057085318262
p 53 57 1.4868927206549616
p 11 19 16.08629167085593
p 43 91 77.20878993330831
p 4 86 32.59462407093878
p 31 97 9.384556123953276
p 46 63 20.725157669569715
p 65 66 30.773765256847547
p 23 55 35.167821120763385
p 25 37 12.892914017658143
p 48 95 58.56598660080784
p 35 88 83.6842849115383
p 15 24 42.515509143574505
p 36 90 40.272726523539305
p 84 86 18.36915353715733
p 28 70 53.059035971821665
p 17 18 14.88072739127525
p 54 99 37.20193181273978
p 72 85 43.667160748970474
p 51 85 65.55869332181784
p 52 92 88.01995253984921
p 63 85 78.99695938809279
p 29 63 42.99601158081344
p 61 66 41.71376130232778
p 29 94 5.475097075675576
p 34 52 85.57181241229128
p 34 66 28.66214866819152
p 8 91 11.336479561813645
p 37 73 25.531865752446944
p 17 72 82.42165978719565
p 32 91 88.50308694352591
p 5 91 9.629662895739752
p 20 44 5.8140340025362685
p 34 48 67.6663781053988
p 6 35 39.10033190896056
p 80 81 78.7959639241099
p 9 60 59.769944069289636
p 9 77 99.79538750197186
p 0 93 69.61019711324431
p 12 57 67.06334120832955
p 28 37 52.31012179719668
p 3 15 77.63491517378418
p 42 48 70.31236691104667
p 65 83 85.74724528137946
p 52 96 17.551020359166255
p 10 24 5.06436516811891
p 56 79 28.308690344586406
p 55 73 27.170888997830307
p 66 71 90.04777700816072
p 18 75 95.12371984118725
p 21 22 78.6836014206278
p 21 47 86.04376689960259
p 37 89 42.155157032852976
p 55 97 33.407012814140884
p 10 57 68.20448935517483
p 21 40 68.44007057351189
p 83 94 25.111431416326752
p 17 74 28.051289838376572
p 74 76 80.5128222900051
p 15 51 6.810650103024426
p 56 66 54.64080968722419
p 14 60 67.49599928841192
p 81 96 52.659234893950426
p 10 92 99.03781905760324
p 58 80 20.5571342983301
p 17 31 2.1177264095204467
p 13 68 81.4225265742693
p 54 70 13.134905869009899
p 17 85 2.9377146259086806
p 2 15 53.54024323915839
p 31 87 54.65918748299727
p 8 31 72.10229876135982
p 12 26 44.66028288604009
p 25 41 47.95574328054473
p 6 57 6.6197941051104605
p 9 63 94.64587993113668
p 58 81 74.02849869048316
p 6 29 60.75543063711107
p 20 74 46.64822507322004
p 33 44 77.1329490637084
p 13 97 3.6745572063455967
p 9 59 57.02487915676685
p 4 25 87.48378802080249
p 53 66 52.91699809797634
p 16 87 39.055509687486705
p 23 82 75.84447885698121
p 44 80 28.41718954035554
p 13 42 92.66121537283954
p 43 94 4.886675001610291
p 59 66 25.86959346994432
p 6 98 88.19557151662802
p 5 45 71.29163532869195
p 11 87 19.63839515507253
p 15 37 96.2876790167254
p 47 79 30.461082785023702
p 60 85 61.75397973124899
p 12 80 90.72051288777162
p 3 95 59.90817279766804
p 37 39 28.569852535889417
p 15 73 69.57220428223621
p 17 69 27.93327137263475
p 55 87 58.145668079862986
p 5 18 7.0935415139919185
p 15 89 55.45035152943997
p 35 87 65.31509457633402
p 31 32 32.368971185225504
p 10 33 84.70651844794736
p 48 53 26.75318432165433
p 16 93 40.176806585408066
p 87 94 47.66920915807491
p 46 82 95.37833902062519
p 24 54 38.06354425723785
p 13 47 13.85449567316512
p 56 91 25.792009493212884
p 32 38 69.77331030554518
p 28 36 26.460564810675624
p 52 88 93.11430067947838
p 23 39 87.25771159692597
p 30 87 86.98634724692914
p 38 92 62.37087338733304
p 1 91 61.56558562146776
p 40 73 76.64000210455532
p 57 64 36.38680798751641
p 96 97 33.24644801606689
p 32 48 88.44701534105172
p 31 69 97.45611274348781
p 34 58 12.829692732054466
p 35 82 42.9703175442767
p 79 99 18.648055330817066
p 10 84 6.64807960068044
p 15 93 15.089390508798301
p 86 97 55.3918432651136
p 39 51 4.158868451248912
p 41 59 5.172649568127555
p 75 77 48.89203006443136
p 35 75 69.3734045671612
p 17 93 73.07058295676273
p 77 87 57.34747576814194
p 89 99 86.11684580827135
p 19 59 29.82768210531089
p 70 94 26.850897451586462
p 76 89 52.45834420166362
p 75 84 55.43860103400898
p 67 89 85.3571846007873
p 20 53 54.42164339200109
p 75 89 64.46316072858014
p 6 37 15.091451537465417
p 18 30 49.5755674273977
p 1 20 33.572999091801506
p 19 70 40.45099675610162
p 9 67 99.94194812030814
p 32 40 37.465916166250786
p 8 35 60.91586805238064
p 27 90 14.217530229801703
p 68 70 7.810311787409336
p 31 79 10.219156553511356
p 12 28 44.40746164629628
p 22 53 31.661776031773314
p 33 89 85.52389045846314
p 14 55 45.520316378466475
p 23 49 35.922060139349306
p 15 45 75.84446040919875
p 48 92 59.834263868485166
p 53 79 32.17347606377281
p 42 67 83.67889013469336
p 3 59 95.2787992051679
p 2 69 87.44388282550301
p 29 50 68.33603721580108
p 57 99 10.942175964829858
p 92 97 8.01783287930524
p 12 67 37.84475172168873
p 56 88 60.13192944187281
p 80 86 49.103322919354255
p 38 86 3.3910100775030676
p 38 97 7.963900322318631
p 76 95 67.25537247377221
p 4 12 22.749472746649964
p 15 91 80.60911237903396
p 21 76 17.851194300278774
p 4 40 7.741535909708694
p 7 39 10.78419025112993
p 62 93 62.1005983375382
p 13 85 12.751578058464208
p 24 44 11.121838014797166
p 27 99 67.5025310479704
p 18 29 44.55394064510905
p 47 65 49.18969943231932
p 7 44 27.767374821138993
p 16 66 67.25567444533563
p 57 75 2.858058726861266
p 15 41 75.57005064613993
p 28 56 98.10530371595141
p 29 80 5.972544924493964
p 12 86 46.7218317215304
p 21 52 29.20116452261498
p 22 65 1.9244090623794388
p 30 68 36.342756367446384
p 80 93 17.231670130888116
p 21 55 65.87245089769102
p 28 31 8.311367485091388
p 19 21 74.43295150250665
p 52 72 80.57713519490245
p 66 78 17.899274884731916
p 9 62 91.50704752783687
p 4 47 50.342786458882976
p 34 62 8.911951836737165
p 72 81 11.290346018370235
p 7 13 58.1880759631316
p 4 60 12.96695639738795
p 29 66 59.25913561541663
p 20 73 26.35094143989075
p 28 62 37.88357431172198
p 50 86 99.44805907162774
p 17 84 81.4413346161018
p 45 67 83.50804298471961
p 13 21 87.75509096768411
p 62 72 62.056235643541314
p 73 85 76.4868138256757
p 37 41 49.933175897480986
p 7 26 42.742598642109904
p 12 59 21.840381209969607
p 26 30 3.077843722466714
p 24 95 86.843459912959
p 42 92 85.35978197590343
p 4 26 96.1348694592424
p 20 54 28.84567857110311
p 42 66 45.41589958558693
p 5 70 34.80076747404636
p 57 68 16.778944469773492
p 27 53 84.42610392530247
p 52 80 46.019632168672146
p 53 82 16.79556905885576
p 39 56 78.46326918230004
p 1 97 3.6189853000557592
p 33 64 76.99044388859616
p 41 53 66.31710267146121
p 1 40 29.558906239344118
p 28 53 39.9267993982329
p 54 80 49.97615816042209
p 24 39 62.0774942609452
p 36 47 4.29267231195308
p 33 35 2.5315941344667676
p 10 29 26.57139710085041
p 59 68 48.252119948030035
p 5 19 82.2513450363974
p 66 90 36.1998159373779
p 45 82 10.720348346261389
p 35 78 57.3342128382909
p 11 58 70.89067762623965
p 46 98 95.74499177846897
p 53 62 55.13525826935284
p 4 21 45.3014503641473
p 24 91 44.25789015368338
p 28 55 3.912997676362065
p 8 36 25.62213118942007
p 0 24 28.315208817154772
p 0 60 15.580039585607844
p 59 99 40.707919816383715
p 54 56 79.23247800398022
p 61 98 26.147998125620312
p 8 66 87.0884147067455
p 43 86 16.770691954286775
p 3 76 38.278280461739776
p 30 56 16.559151189126936
p 14 96 50.848321286377875
p 41 81 95.34044874528591
p 3 18 12.954052589714738
p 2 8 87.06247152852958
p 23 94 80.42594910140161
p 31 90 87.74787937826092
p 2 91 63.852787482900304
p 60 82 82.8393664729638
p 20 91 99.75756471142901
p 0 37 6.23081652333777
p 48 69 39.62478191143919
p 54 69 6.067360758354636
p 66 93 15.37961510117228
p 10 79 52.630438910258334
p 2 35 44.42763867839577
p 7 43 91.2223413575293
p 2 81 55.5527320410939
p 21 83 84.61476286699056
p 36 49 46.282725328573804
p 23 26 29.480749909841993
p 8 50 59.28595445031038
p 13 23 40.08959998076868
p 17 88 49.39121764515722
p 4 75 33.56805002199769
p 90 92 93.57161614363879
p 33 57 50.19487139230084
p 10 25 95.23319978745418
p 49 88 47.352446638777636
p 23 27 38.31896891431947
p 69 72 41.17346098438768
p 51 88 8.59401573370068
p 10 39 78.9126475177682
p 40 82 42.71164161006821
p 85 99 73.52036776085752
p 4 96 63.92769980183742
p 13 58 16.924122004077088
p 16 36 72.21091091966737
p 24 36 20.993324724345197
p 41 45 96.73928084455869
p 35 60 8.450414440478573
p 18 97 70.805336396479
p 12 55 82.48816609009035
p 39 46 17.999280742809034
p 5 40 2.357727681726004
p 7 49 24.490405656869665
p 1 73 1.7176333839108726
p 11 68 16.516075599257142
p 50 54 46.957332078536936
p 2 77 12.661489199654657
p 1 53 37.82292297293729
p 26 90 76.52609933963359
p 11 46 18.278745660911728
p 4 51 57.671991411157116
p 58 93 23.291243381388174
p 75 87 41.52230061443481
p 48 61 36.43572558748895
p 48 89 32.800569563937444
p 53 72 61.12285851566722
p 5 72 61.243157178492666
p 4 17 33.30499761858624
p 4 8 96.54678149685124
p 25 92 23.21651617890505
p 2 96 43.30870762368819
p 32 69 95.90737711316096
p 45 56 15.411026757661917
p 1 3 10.950198822266817
p 54 72 28.829487365715433
p 64 88 48.552448577508265
p 39 81 27.05906572586115
p 1 60 71.92390024374025
p 40 94 34.2427677841772
p 55 93 20.11222468547396
p 37 51 93.35821760579249
p 57 76 44.32247682549134
p 23 87 47.93798974697063
p 49 95 76.7982232411574
p 44 84 62.748895455393765
p 7 17 84.57826349628321
p 80 90 93.96708848473725
p 9 10 65.77478551671047
p 26 41 95.03611340943232
p 93 95 51.771571430647164
p 63 98 71.50299411780966
p 14 38 11.812181502111226
p 26 74 21.17603235289782
p 42 46 54.779789317673995
p 12 38 21.243074722131578
p 7 73 61.8689854935503
p 55 63 21.047358846828562
p 3 93 22.79820013364491
p 18 43 18.163000285339585
p 22 48 1.078707160242487
p 1 76 19.526809328903347
p 3 97 91.28278332317716
p 40 89 33.61177761408379
p 45 58 62.75442120267089
p 2 40 79.92819525077397
p 37 46 90.01563739789185
p 8 44 89.59807221581687
p 25 84 20.987084533325913
p 84 87 37.37005890959479
p 5 79 81.58390590834517
p 37 62 68.14390244183335
p 48 62 11.180762238184386
p 40 64 64.23521358341682
p 76 99 59.96314651645394
p 52 99 13.778805458645191
p 8 47 26.71396488585862
p 6 9 26.39822263327273
p 42 85 22.943882750705793
p 50 56 56.00578919216387
p 9 18 58.35819103830883
p 1 10 29.276599950128603
p 69 74 11.403725543360236
p 6 34 54.545481032355774
p 6 16 46.19023201299275
p 74 87 26.384869572135106
p 7 71 28.203329800688504
p 30 33 41.98925658878174
